Text,Emotion,Temiz_Text
kötü geçen sınavımdan normalin üstünde alınca çok mutlu oldum.,Happy,kötü geçen sınav normal üst alınca çok mutlu oldum
Evlenme teklifi alınca çok mutlu olurum,Happy,evlenmek teklif alınca çok mutlu olurum
terk edilmekten dolayı çok kırgınım.,Sadness,terk edilmekten çok kırgın
Bilgisayar için alın okul için almayın.,Neutral,bilgisayar alın okul almak
Çevremdeki insanlar bana yaptığım bir şeyden dolayı onları mutlu ettiğimi söylerse mutlu olurum.,Happy,çevre insan yapmak şey mutlu ettiğimi söylemek mutlu olurum
Kasrın yapımına 1845 yılında başlanmış ve 1854te tamamlanarak Sultan Abdülmecide hediye edilmiştir.,Neutral,kasrın yapım yıl başlamak te tamamlamak sultan abdülmecide hediye edilmiştir
Garip seslerden ve ürpertici ölümlerden.,Fear,garip ses ürpermek ölüm
Çok çaba harcadığım bir şeyin olmaması.,Sadness,çok çaba harcamak şey olmak
Bir toplulukta  insanların gruplara ayrılması ve diğer insanları dışlaması.,Anger,topluluk insan grup ayrılması diğer insan dışlamak
Haksızlığa uğradığımda çok öfkelenirim.,Anger,hak uğramak çok öfke
annem benim adıma girip eşyalarımı toplamaya kalktığında öfkeleniyorum.,Anger,anne ben adım girmek eşya toplamak kalkmak öfke
Kardeşimin olması.,Happy,kardeş olmak
annemle babamı öptüğümde gözlerindeki mutluluğu görünce ben de mutlu oluyorum,Happy,anne baba öptüğümde göz mutlu görmek mutlu oluyorum
Mutfakta uzun süre kalan çöp kokusundan tiksiniyorum,Disgust,mutfak uzun süre kalmak çöp koku tiksinmek
arkadaşım bana durduk yere vurması beni delirtti.,Anger,arkadaş durmak yer vurmak delirmek
"Siyasi liderler, ülkenin iç ve dış politikalarını şekillendirir.",Neutral,siyasî lider ülke iç dış politika şekil
Çocuklarımın ve torunlarımın başarıları beni mutlu ediyor.,Happy,çocuk torun başarı mutlu ediyor
Sınavdan kötü almak.,Sadness,sınav kötü almak
"Malzemenin kalitesi kötü, iplerine tutunmazsanız, bir şey taşımazsanız veya kirli çamaşır olarak kullanmazsanız hiçbir şey olmaz.",Neutral,malzeme kalite kötü ip tutunmak şey taşımak kir çamaşır olarak kullanmak şey olmak
Eve hızlı ve erken döndüğümde.,Happy,ev hız erken dönmek
Yapma kelimesini anlamayan oğluma çok öfkelendim.,Anger,yapmak kelime anlamak oğluma çok öfke
Buluşmaya gelmeyen arkadaşıma kızdım.,Anger,buluşmak gelmek arkadaş kızmak
Yerlere tükürülmesi.,Disgust,yer tükürmek
"Vegan beslenme, hayvansal ürünleri tüketmeyenler için alternatif sunar.",Neutral,vegan beslemek hayvan ürün tüketmek alternatif sunmak
Tavukların kafası kesildikten sonra bir süre yaşadığını duyduğumda şaşırmıştım.,Surprise,tavuk kafa kesmek sonra süre yaşamak duymak şaşırmak
Arıdan çok korkarım,Fear,arı çok korkmak
"Eve gittiğimde , kapımda polislerce bırakılan bir not ile karşılaştım.Notta, verilen telefonu arayarak bilgi vermem isteniyordu;ancak konu belirtilmemişti.Son zamanlarda eyleme falan da katılmamıştım;şaşkınlık ve merak verilen numarayı aradım.",Surprise,ev gitmek kapı polis bırakmak not karşılaşmak not vermek telefon aramak bilgi vermek istemek konu belirmek son zaman eylem falan katılmak şaşkın merak vermek numara aramak
"oda arkadaşımın pisliğinden, dağınıklığından, rahatlığından bıktım.",Anger,oda arkadaş pis dağınık rahat bıkmak
@nurhayataltaca @alpertaban16 Peki bunun OSMANLI BAŞKETİ BURSA HALKININ haberi var mı 🤣 @nurhayataltaca,Neutral,peki bu osmanlı başketi bursa halk haber var
Kaybetmek.,Fear,kaybetmek
Dünya mutfağının pek çok yerinde kahvaltıda hamur işleri tercih edilebilmektedir.,Neutral,dünya mutfak çok yer kahvaltı hamur iş tercih edilebilmektedir
Kötü beklediğim sınavdan iyi not aldığımda.,Happy,kötü beklemek sınav iyi not aldığımda
hayvan bağırsağından tiksinirim.,Disgust,hayvan bağırsak tiksinmek
Mide bulandırıcı durumlardan tiksinirim.,Disgust,mide bulanmak durum tiksinmek
Galata Kulesinin en üst katı İstanbulun en güzel panoramik manzaralarından birine sahiptir.,Neutral,galata kule üst kat istanbulun güzel panoramik manzara biri sahip
hiçbir şeye üzülmemem çok üzücü,Sadness,şey üzülmemem çok üzücü
Hiç beklemediğim birinin alışık olmadığım davranışlar sergilemesi.,Surprise,hiç beklemek biri alışık olmak davranmak sergilemek
Sevdiklerimi kaybetmek.,Sadness,sevmek kaybetmek
Nankör ve cahil insan görmek.,Anger,nankör cahil insan görmek
evin derin sessizliğinden sesler gelince tırsarım.,Fear,ev derin ses ses gelmek tırsmak
köydeyken yastığımın altından akrep çıktığı zaman korkmuştum.,Fear,köy yastık alt akrep çıkmak zaman korkmak
Birisine kötülük yaptığım zaman.,Sadness,biri kötü yapmak zaman
Yalnız olduğumu düşündüğümde.,Fear,olduğumu düşünmek
Çok sevdiğim ünlü birini karşımda görünce şaşırırım.,Surprise,çok sevmek ün biri karşı görmek şaşırmak
Yaratıcı fikirleri ve görsel efektleriyle etkileyici ancak bazıları için karmaşık olabilir.,Neutral,yaratı fikir görsel efekt etkilemek bazı karmaşık olabilir
Salladığım bir soru tuttuğu zaman.,Happy,sallamak soru tutmak zaman
okuduğum bu okulu kazandığımda dünyalar benim olmuştu,Happy,okumak okul kazanmak dünya ben olmak
Evde böcek gördüğüm zaman.,Disgust,ev böcek görmek zaman
Yılandan.,Fear,yılan
Karşımdaki erkek benimle insan değilmişim gibi konuşuyorsa ondan tiksinirim.,Disgust,karşı erkek ben insan değil konuşmak tiksinmek
birinin kötü kokan nefesini koklamak,Disgust,biri kötü kokmak nefes koklamak
haksızlığa uğradığım zaman ve arkadaşlarımın verdikleri sözden son anda döndüklerinde.,Anger,hak uğramak zaman arkadaş vermek söz son an dönmek
Yakınlarımdan birinin başına kötü bir şey geldiğinde üzülürüm.,Sadness,yakın biri baş kötü şey gelmek üzülürüm
insanları kırmaktan korkuyorum,Fear,insan kırmak korkmak
Hastalıktan çabuk iyileşmeme şaşırdım.,Surprise,hastalık çabuk iyi şaşırmak
"2 haftalığına ""İngiltere'ye"" gittiğimde özgür hissetmiştim ve çok mutlu olmuştum.",Happy,hafta ingiltere ye gitmek özgür hissetmek çok mutlu olmak
"televizyonda, kitapta birinin öldüğünü okuduğumda gördüğümde çok üzülüyorum ve ağlıyorum.",Sadness,televizyon kitap biri öldüğünü okumak görmek çok üzülüyorum ağlamak
"Özlem duygusunun yanı sıra askerlik süresince değişmiş bulduğum oğlumu ilk gördüğümde şaşakalmıştım. Zayıflamış, süzülmüş, suskun bir haldeydi. Acaba bizim bilmediğimiz acı olaylar mı yaşamıştı. Gözlerinin içine baktığımda bunu hissedebiliyordum. Birden benim de içimi bir hüzün ve keder sardı, oğlumu sımsıkı bağrıma bastım ve evin yolunu tuttuk. Eve vardığımızda onun acılarını yüreğimin sıcaklığıyla dindirmeye kararlıydım.",Sadness,özlem duygu yan sıra asker süre değişmek bulmak oğlumu ilk görmek şaşakalmak zayıflamak süzülmek suskun hal biz bilmek acı olay yaşamak göz iç bakmak bu hissetmek birden ben iç hüzün keder sarmak oğlumu sımsıkı bağır basmak ev yol tutmak ev varmak o acı yürek sıcaklık dinmek karar
Mars'ta su bulunması.,Surprise,mars ta su bulunmak
Oynadığım kuponun tutmama ihtimalinden korkuyorum.,Fear,oynamak kupon tutmak ihtimal korkmak
ailemin bölünmesi düşüncesi bile beni çok korkutur.,Fear,aile bölmek düşünce bile çok korkutmak
Sınavdan 100 almak.,Happy,sınav almak
Sipariş girerken teslim tarihi 24.08.2023'ü gösteriyordu. Kart numarasını girip onaylayınca hem kulaklık griye döndü hem teslim tarihini 02.09.2023'e attı. Yetkililerden mümkün ise daha erken göndermelerini rica ederim. ,Neutral,sipariş girmek teslim tarih göstermek kart numara girmek onaylamak hem kulak gri dönmek hem teslim tarih attı yetkili mümkün erken göndermek rica ederim
Her zaman mutluyumdur.,Happy,zaman mutlu
Bir yakınımı kaybetmek.,Sadness,yakın kaybetmek
@lollkeka ben az önce ajda pekkan sarkısı paylaşan birine attım cmçznxçsncös,Neutral,az önce ajda pekkan sarkısı paylaşmak biri attım cmçznxçsncös
"Patara Antik Kenti, Ksanthos Vadisi’nde tek denize açılan yer olması nedeniyle uzun süre varlığını sürdürmüştür.",Neutral,patara antik kent ksanthos vadi nde deniz açılan yer olmak neden uzun süre varlık sürmek
Böceklerden tiksinirim.,Disgust,böcekler tiksinmek
Fatma Saygın Lisesini kazandığımda çok sevinmiştim.,Happy,fatma saygın lise kazanmak çok sevinmek
Sınıftan bir arkadaşım hırsızlık yapmıştı.,Surprise,sınıf arkadaş hırsız yapmak
ilkokulda arkadaşlarım arkamdan konuştuğunda çok öfkelendim.,Anger,ilkokul arkadaş arka konuşmak çok öfke
emir verilince öfkelenirim,Anger,emir vermek öfke
Gece evde tek başıma kaldığım zaman.,Fear,gece ev baş kalmak zaman
sınavdan düşük alınca mahvolurum,Sadness,sınav düşük alınca mahvolmak
@yerlimilli_tr Togg’un sahibi kim ?,Neutral,togg un sahip
Kardeşimin ilk defa  yürümesi.,Happy,kardeş ilk defa yürümek
Sevdiğim insanların uzağa gitmesi.,Sadness,sevmek insan uzak gitmek
gurbetten sonra aileme kavuşunca inanılmaz mutlu oluyorum.,Happy,gurbet sonra aile kavuşmak inanmak mutlu oluyorum
Her şeyin en iyisini istediğim için en ufak detayın atlanması beni öfkelendiriyor.,Anger,şey iyi istemek ufak detay atlamak öfke
Sınavda başarılı olunca mutlu olurum.,Happy,sınav başarı olunca mutlu olurum
gecenin bir yarısı olan ani deprem beni çok korkutmuştu.,Fear,gece yarı olan ani deprem çok korkutmak
Matematikten 100 almak.,Happy,matematik almak
ailemden uzak bir ile geldiğimde üzüldüm.,Sadness,aile uzak gelmek üzüldüm
Hamam böceklerinden.,Disgust,hamam böcek
İki kişinin aynı bardaktan su içmesi.,Disgust,iki kişi aynı bardak su içmek
Yanlış anlaşıldığım zaman öfkeleniyorum.,Anger,yanlış anlaşmak zaman öfke
Her zaman mutluyum.,Happy,zaman mutlu
Trafikte önüme araba kırdıklarında.,Anger,trafik ön araba kırmak
Yolda genç bir kız geçerken erkeklerin bakışlarından (Özellikle yaşlı erkeklerin) tiksiniyorum.,Disgust,yol genç kız geçer erkek bakmak özellikle yaş erkek tiksinmek
Cumhuriyet döneminin başkentteki simge yapılarından Ankara Palas 1927’de açılmıştır.,Neutral,cumhuriyet dönem başkent simge yapı ankara palas açılmıştır
Ailemin oturduğu yerdeki Fen Lisesini kazanamayıp Ailemin İzmir'e gelmek zorunda kalmasına üzüldüm.,Sadness,aile oturmak yer fen lise kazanmak aile izmir gelmek zor kalmak üzüldüm
Kuzenim doğduğu zaman çok kırmızı ve küçük olmasına.,Surprise,kuzen doğmak zaman çok kırmızı küçük olmak
Ailemde birliktelik gördüğümde.,Happy,aile birliktelik görmek
Beren Saat ve Kenan Doğulu'dan yeni kriz: Boşanma iddiasıyla gündemdeler! #berensaat #kenandoğulu #boşanma #ayrılık https://t.co/jc94VbwbAA,Neutral,beren saat kenan doğulu dan yeni kriz boşamak iddia gündem berensaat kenandoğulu boşanma ayrılık
Arabam ile kırmızı ışıkta durduğumda arkamdan gelen fren sesinden korktum.,Fear,araba kırmızı ışık durmak arka gelmek fren ses korkmak
Matematik sınavı.,Fear,matematik sınav
Şu an çalıştığım yere tayinimin olduğunu öğrendiğim an,Happy,an çalışmak yer tayin olduğunu öğrenmek an
Kursta hiç ummadığım birini sınıfta görünce şaşırdım.,Surprise,kurs hiç ummak biri sınıf görmek şaşırmak
Fare görünce tiksiniyorum.,Disgust,fare görmek tiksinmek
Yemek yediğim ya da uyuduğum zaman mutlu  olurum.,Happy,yemek yediğim uyumak zaman mutlu olurum
Üstüme gelindiği zaman öfkelenirim.,Anger,üst gelmek zaman öfke
sevdiğim kız bana abi dedi,Sadness,sevmek kız abi dedi
filmin cok uzun olması beni biraz sıksa da heyecanlı bir batman filmi.,Neutral,film cok uzun olmak sıkmak heyecan batman film
Çok sevdiğim kişilerin beni arayıp sorması mutlu ediyor.,Happy,çok sevmek kişi aramak sormak mutlu ediyor
Birisinin kustuğunu görmek.,Disgust,biri kusmak görmek
"Siyasi ideolojiler, politika oluşturmada rehberlik edebilir.",Neutral,siyasî ideoloji politika oluşmak rehber edebilir
aileden birinin hastalanması,Sadness,aile biri hastalanmak
İnsanlara hakaret edilmesi ve şiddet uygulanması.,Anger,insan hakaret edilmesi şiddet uygulamak
Matematikten yüksek not almak.,Happy,matematik yüksek not almak
Verilen sözün tutulmaması.,Anger,vermek söz tutmak
Annem kalp ameliyatı olduğunda onu kaybetmekten çok korkmuştum.,Fear,anne kalp ameliyat olduğunda kaybetmek çok korkmak
Temizlenmemiş tuvaletlerden tiksiniyorum.,Disgust,temizlemek tuvalet tiksinmek
Üzülen bir insanı mutlu etmek için elimden bir şey gelmemesi.,Sadness,üzülen insan mutlu etmek el şey gelmek
"Beykoz Mecidiye Köşkü, Osmanlı tarihinde ""Mısır Meselesi""ne tanıklık etmiştir.",Neutral,beykoz mecidiye köşkü osmanlı tarih mısır mesele tanık etmek
Ailemden birisi sağlık sorunu yaşadığında.,Sadness,aile sağlık sorun yaşamak
"Aydın’ın Sultanhisar ve Köşk ilçeleri başta olmak üzere Koçarlı, Efeler ve Yenipazar ilçelerinde kış çileği için hazırlıklar başladı.",Neutral,aydın ın sultanhisar köşk ilçe baş olmak koçarlı efe yenipazar ilçe kış çilek hazırlık başlamak
Gündüz sevimli olan köpekler geceleri kurt gibi oluyor.,Fear,gündüz sevimli olan köpek gece kurt oluyor
Sürprizler ve beklenmedik haberler.,Surprise,sürpriz beklemek haber
Tanıdığım bir kişinin çevresindekilere aldırmadan iğrenç sesler çıkarması.,Disgust,tanımak kişi çevre aldırmak iğrenç ses çıkarma
Çok iyi bildiğim bir şey hakkında karşı çıkıldığı zaman öfkelenirim.,Anger,çok iyi bilmek şey hak çıkmak zaman öfke
Evde yalnız kaldığımda korkarım.,Fear,ev kalmak korkmak
istediğim bölümü kazanmak,Happy,istemek bölüm kazanmak
"Güzeldi, ancak Hayao Miyazakinin bir önceki filmi olan 'Spirited Away' kadar eğlendirmedi beni.",Neutral,güzel hayao miyazakinin önce film olan spirited away eğlenmek
Bebekler ağlayınca mutlu olurum.,Happy,bebek ağlamak mutlu olurum
Yalan söylenmesine öfkelenirim.,Anger,yalan söylemek öfke
"çok az tanıdığım birinin, tanımadığı bir hakkında yalan söylemesine ve iftira atmasına çok öfkelenmiştim.",Anger,çok az tanımak biri tanımak hak yalan söylemek iftira atmak çok öfke
Topluluk önünde konuşmak ve sınavlardan önce korkarım.,Fear,topluluk ön konuşmak sınav önce korkmak
Mutfakta gezinen hamam böceği görünce çok tiksiniyorum.,Disgust,mutfak gezinmek hamam böcek görmek çok tiksinmek
Düşüncelerime saygı duymayanlara.,Anger,düşünce saygı duymak
bir çocuğun dünyaya gelmesi çok güzel bir duygu. Özellikle bir yakınımın bebeğinin olması beni mutlu eder. mutluluktan ağlayabilirim,Happy,çocuk dünya gelmek çok güzel duygu özellikle yakın bebek olmak mutlu eder mutlu ağlamak
"""Rahatça ama şimdi vagonumun camının sütunsuz olduğunu ve Unitynin yapıştırıcıyı hiçbir yere yapıştıramadığını fark ettim.""",Neutral,rahat şimdi vagon cam sütun olduğunu unitynin yapışmak yer yapışmak fark ettim
Sevdiklerime ve bana zarar gelince üzülürüm.,Sadness,sevmek zarar gelmek üzülürüm
Trafik kazası tehlikesi atlattığımda.,Fear,trafik kaza tehlike atlamak
İlk okul arkadaşım bir arabanın çarpması sonucu öldü.,Sadness,ilk okul arkadaş araba çarpmak sonuç öldü
"""Yakın bir şekilde bozulmamış.""",Neutral,yakın şekil bozmak
Otelin konumu merkeziydi ancak fiyat-performans oranı daha iyi olabilirdi.,Neutral,otel konum merkez fiyat performans oran iyi olabilirdi
Yemek yediğim zaman mutlu olurum.,Happy,yemek yediğim zaman mutlu olurum
İnsanların yüzüme baka baka yalan söylemesi.,Anger,insan yüz bakmak bakmak yalan söylemek
Evin penceresini çalıp kaçan çocuklar beni korkutuyor.,Fear,ev pencere çalmak kaçmak çocuk korkutmak
Dedemin ölümü.,Sadness,dede ölüm
Son pasta dilimini birisiyle paylaşmak zorunda kalmak.,Sadness,son pasta dilim biri paylaşmak zor kalmak
Annemin kanser hastalığına yakalanması.,Sadness,anne kanser hastalık yakalamak
Kaba davranışlardan.,Anger,kaba davranmak
Üzgün anımda kuzenimin bana sarılmasından büyük mutluluk duydum.,Happy,üzgün an kuzen sarmak büyük mutlu duymak
En yakın arkadaşımın sırtımdan vurması.,Sadness,yakın arkadaş sırt vurmak
Öfkeliyken dalga geçilmesine kinleniyorum daha fazla öfkeleniyorum.,Anger,öfke dalga geçmek kinlenmek öfke
Yılan gördüğümde.,Fear,yılan görmek
yaz tatili geldiği için çok mutluyum,Happy,yaz tatil gelmek çok mutlu
Oyunda en değer verdiğim oyuncu var ise mutlu olurum.,Happy,oyun değer vermek oyun var mutlu olurum
Mezarlıklar beni hep korkutur.,Fear,mezar hep korkutmak
Türk evi plan tipinde tasarlanan köşkün yapıları bugün yaklaşık 170 bin metrekarelik bir alanda yer alıyor.,Neutral,türk ev plan tip tasarlamak köşkün yapı bugün yaklaşık bin metrekare alan yer alıyor
İstediğim şeyi elde ettiğim zaman.,Happy,istemek şey el ettiğim zaman
Oyunda üst üste karşıdakini öldürmeden ölünce öfkeleniyorum.,Anger,oyun üst üst karşı öldürmek ölünce öfke
@Tayfun06253368 @Afet_Tehlikesi Çok fazla gönül dağı izlemişşin dercesine ??,Neutral,çok gönül dağ izlemişşin dercesine
evde akşam elektrikler kesildiğinde korkuyorum,Fear,ev akşam elektrik kesmek korkmak
Aniden yapılan sınavlardan şaşırırım.,Surprise,aniden yapmak sınav şaşırmak
tatilde arkadaşlarımla birlikte havuza girip doyasıya yüzünce çok eğlenmiştim.,Happy,tatil arkadaş birlikte havuz girmek doyasıya yüz çok eğlenmek
Yağmurdan sonra ortaya çıkan salyangozun üstüne bastığımda tiksindim.,Disgust,yağmur sonra orta çıkmak salyangoz üst basmak tiksinmek
Evde gece tek başıma kalmak.,Fear,ev gece baş kalmak
"İnsan en büyük acıyı annesini,babasını ve kardeşini kaybetmekle hissediyor. Onlar karşılıksız sevgi ve dayanılacak bir dayanak. onlarsız hayat devam ediyorsa da her zaman onları özlüyorsun.",Sadness,insan büyük acı anne baba kardeş kaybetmek hissetmek karşılık sevgi dayanmak dayanak o hayat devam ediyorsa zaman özlemek
"Otelin lobisi geniş ve rahattı, ancak bazı misafirler oda mobilyalarının yenilenmeye ihtiyacı olduğunu düşünebilir.",Neutral,otel lobi geniş rahat bazı misafir oda mobilya yenilemek ihtiyaç olduğunu düşünmek
Kaplumbağam öldüğünde çok üzüldüm.,Sadness,kaplumbağa öldüğünde çok üzüldüm
İkiz kardeş sandığım babamın arkadaşlarının aslında evli bir çift olduğunu öğrendiğim zaman.,Surprise,ikiz kardeş sandık baba arkadaş aslında evli çift olduğunu öğrenmek zaman
Sınav notumu aileme söylemek ve çalışmadan sınava girmek.,Fear,sınav not aile söylemek çalışmak sınav girmek
Ödevler kontrol edilirken.,Fear,ödev kontrol edilirken
Ölümle burun buruna gelirsem korkarım.,Fear,ölüm burun buru gelmek korkmak
Siyasi liderler politika değişiklikleri için çaba gösterebilirler.,Neutral,siyasî lider politika değişik çaba göstermek
Antrenörümün beni oyuna sokmamasından üzüldüm.,Sadness,antrenör oyun sokmak üzüldüm
Evde gördüğüm böceklerden tiksiniyorum.,Disgust,ev görmek böcek tiksinmek
Korku filmi izledikten sonra elektriklerin kesilmesi.,Fear,korku film izlemek sonra elektrik kesmek
Köpek gördüğüm an.,Fear,köpek görmek an
Yemek yediğim her an.,Happy,yemek yediğim an
İçtiğim suyun içinde sarımsak vardı.,Disgust,içtiğim su iç sarımsak var
Yediğim çikolata yere düştü.,Sadness,yediğim çikolata yer düşmek
"Splenter ustanın getirildiği hal ve April karakteri dışında güzeldi. Bazı şeyleri yenilemenize gerek yok, gerçekten.",Neutral,splenter usta getirmek hal april karakter dış güzel bazı şey yenilemek gerek yok gerçekten
Boş kaleye gol kaçıran bir futbolcu gördüğümde.,Anger,boş kale gol kaçırmak futbol görmek
"""Fenerbahçe"" elendiği zaman.",Sadness,fenerbahçe elenmek zaman
Banyoda saç görmekten hoşlanmıyorum.,Disgust,banyo saç görmek hoşlanmak
çok yakın arkadaşlarımla kavga etmek,Sadness,çok yakın arkadaş kavga etmek
Yayalara yeşil ışık yanarken geçen arabalara.,Anger,yaya yeşil ışık yanmak geçen araba
"""Benim zevkime hitap etmiyor bilişim teknolojisi çok da önemli değil ayrıca kaçak çay da değil.""",Neutral,ben zevk hitap etmek bilişim teknoloji çok önem değil ayrıca kaçak çay değil
10 saat uyuduktan sonra tekrar bir 4 saat daha uyuyabildiğim zaman.,Happy,saat uyumak sonra tekrar saat uyumak zaman
Sevgilimin yanında başka bir erkek gördüğüm zaman.,Anger,sevgilimin yan başka erkek görmek zaman
Yüksek beklediğim sınavdan düşük alırsam.,Sadness,yüksek beklemek sınav düşük alırsam
Ölüm ya da hastalıklar.,Sadness,ölüm hastalık
Müze bahçesinde peyzaj ile birlikte taş eserler de bütünlük oluşturacak şekilde sergilenmektedir.,Neutral,müze bahçe peyzaj birlikte taş eser bütün oluşmak şekil sergilemek
Kız kardeşimin benden daha güzel olduğunu söylenmesi beni üzer.,Sadness,kız kardeş güzel olduğunu söylemek üzer
Kardeşimin odada kusmasından tiksindim.,Disgust,kardeş oda kusmak tiksinmek
Arkadaşım benden kopya çektiği zaman tiksindim.,Disgust,arkadaş kopya çekmek zaman tiksinmek
Sevdiğim birisinin vefatı.,Sadness,sevmek biri vefat
Sultan Reşad Beykoz Mecidiye Kasrında Meclis-i Mebûsân üyelerine bir bahar ziyafeti vermiştir.,Neutral,sultan reşad beykoz mecidiye kasır meclis meb üye bahar ziyafet vermek
Birisini istemeden kırdığımda.,Sadness,biri istemek kırmak
Yalan söyleyen çok yakınımdaki birinin yalan söylediğini öğrendiğimde öfke duygum depreşti.,Anger,yalan söylemek çok yakın biri yalan söylemek öğrenmek öfke duygu depreşmek
"""Ankara katliamı'ndaki"" patlamada ölenlerin cenazesine gittiğim zaman.",Sadness,ankara katliam ndaki patlamak ölenlerin cenaze gitmek zaman
Üzerimde böcek gezmesinden korkarım.,Fear,üzeri böcek gezmek korkmak
Yapmadığım bir olayı yaptığım iddia edildiği zaman,Anger,yapmak olay yapmak iddia edildiği zaman
Bana yalan söylendiğini öğrendiğimde çok öfkelendim.,Anger,yalan söylemek öğrenmek çok öfke
Aylardır görüşemediğim sevgilimle buluştuğumda yüzündeki mutluluk.,Happy,ay görüşmek sevgili buluşmak yüz mutlu
Ani ölüm ve acı kayıplar altı yıl önce yaşanmış beni baya yıktı,Sadness,ani ölüm acı kayıp altı yıl önce yaşamak baya yıkmak
Yere atılmış sakız gördüğümde.,Disgust,yer atılmış sakız görmek
İstediğim şeye sahip olmaktan mutlu olurum.,Happy,istemek şey sahip olmak mutlu olurum
Anlaşılmadığımda ve çok istediğim bir şey olmadığında.,Sadness,anlaşmak çok istemek şey olmak
Arkadaşımın gözümün önünde burnunu karıştırması beni tiksindirdi,Disgust,arkadaş göz ön burun karışmak tiksinmek
Suçlu olduğum bir kavgadan ötürü.,Sadness,suç olduğum kavga
Megaloman insanlar öfkelendirir.,Anger,megaloman insan öfkelenmek
"geçen gece telefon sapıklığı yaptık, kadın polisi aradığını söyleyince ödümüz bokumuza karıştı",Fear,geçen gece telefon sapık yapmak kadın polis aramak söylemek öd bok karışmak
Eşimle ve ailemle yaptığım aktiviteler beni mutlu ediyor.,Happy,eş aile yapmak aktivite mutlu ediyor
Terör olaylarından.,Fear,terör olay
kız arkadaşım beni terk edince üzüldüm,Sadness,kız arkadaş terk edince üzüldüm
Korku filmi izledikten sonra.,Fear,korku film izlemek sonra
Evde temizlik yaparken yılan görmüştüm.,Fear,ev temiz yapmak yılan görmek
Çöpten üstüme kedi atladığı zaman.,Fear,çöp üst kedi atlamak zaman
Maçta kırmızı kart aldığımda üzüldüm.,Sadness,maç kırmızı kart aldığımda üzüldüm
Çok sevdiğim babamın ölmeden önce beni arayıp kalp rahatsızlığını bildirdikten sonra tedavisini yaptıramadan ölmesine çok üzülmüştüm.,Sadness,çok sevmek baba ölmek önce aramak kalp rahat bilmek sonra tedavi yapmak ölmek çok üzülmüştüm
Yeğenimle geçirdiğim anlar.,Happy,yeğen geçirmek an
Yakın arkadaşımın sevgilisi olduğunu öğrendiğimde.,Surprise,yakın arkadaş sevgili olduğunu öğrenmek
yemeğin içerisinden kıl çıkınca,Disgust,yemek içeri kıl çıkmak
yüzüme gülüp arkamdan iş çevirenlerden nefret ederim.,Anger,yüz gülmek arka iş çevirmek nefret ederim
Yanımdaki insanın ter kokması.,Disgust,yan insan ter kokmak
Kardeşimin çok erken yaşta konuşması.,Surprise,kardeş çok erken yaş konuşmak
başkalarına su vermekten çok tiksinirim.,Disgust,başka su vermek çok tiksinmek
"Dogville kadar çarpıcı ve etkili olmasa da, izlenmeye değer, klas bir Von Trier filmi. Tiyatro ortamında geçmesine rağmen, senaryosu, diyalogları ve oyunculuğuyla derin ve düşündürücü hale geldi.",Neutral,dogville çarpı etki olmak izlemek değer klas von trier film tiyatro ortam geçmek rağmen senaryo diyalog oyun derin düşünmek hal gelmek
Kızlar çok saf üzülüyorum.,Sadness,kız çok saf üzülüyorum
seneler sonra öğretmenimi karşımda görünce çok şaşırdım.,Surprise,sene sonra öğretmen karşı görmek çok şaşırmak
İzlediğim bir videodan korkmuştum.,Fear,izlemek video korkmak
Yemekhanede güzel bir yemeğin yanında güzel bir tatlı çıktığında.,Happy,yemekhane güzel yemek yan güzel tatlı çıkmak
Çok karanlıktan korkarım.,Fear,çok karanlık korkmak
Annemin kardeşimle aramda ayrımcılık yapması.,Anger,anne kardeş ara ayrım yapmak
Kabus görmek.,Fear,kabus görmek
Köpeklerin beni kovalaması.,Fear,köpek kovalamak
"Tadı fena değil, hediye eklenmemiş, kahvenin yanında güzel gidiyor.",Neutral,tadı fena değil hediye eklemek kahve yan güzel gidiyor
Matematik sınavından 100 aldığımda.,Happy,matematik sınav aldığımda
dar beyinli insanların dar görüşlerini dayatmalarına inanılmaz sinir olurum.,Anger,dar beyin insan dar görüş dayatmak inanmak sinir olurum
Kocamın beni bırakmasından korkuyorum,Fear,koca bırakmak korkmak
köpeklerden çok korkarım.,Fear,köpek çok korkmak
karanlıktan ürkerim,Fear,karanlık ürkmek
"""Antalyaspor'dan"" 7 gol yediğimiz zaman.",Sadness,antalyaspor dan gol yediğimiz zaman
ablam evlenirken çok mutlu oldum.,Happy,abla evlenmek çok mutlu oldum
Uyku felci geçirip halüsinasyon görmeye başlamaktan korkarım.,Fear,uyku felç geçirmek halüsinasyon görmek başlamak korkmak
"@m_latif_uygun @BaranKk20 60 milyar enerji ithalatın ve 180 milyar ihracatın var, rezervler de sıkıntılı. Fon girişi gerekiyor, Katar vs değil reel rezerv",Neutral,milyar enerji ithalat milyar ihracat var rezerv sıkıntı fon girmek gerekmek katmak vs değil reel rezerv
Sınavdan 1 gün önce.,Fear,sınav gün önce
içmediğimden çok rahatsız oluyorum dağda bile bana gelir nefret,Disgust,içmek çok rahat oluyorum dağ bile gelir nefret
İyi not aldığımda.,Happy,iyi not aldığımda
Hayaletli bir film izlemiştim. yattığımda korkudan uyuyamadım.,Fear,hayalet film izlemek yatmak korku uyumak
Sokaktaki zavallı hayvanlara şiddet gösteren çocuklara karşı aşırı öfke duydum,Anger,sokak zavallı hayvan şiddet göstermek çocuk aşırı öfke duymak
